rep,id,g,d,P0
3,99,29.7801,0.306016,46.5441
4,99,34.7008,0.484117,46.8897
1,100,30.6597,0.42405,54.886
2,100,28.5336,0.349172,55.0049
3,100,39.3371,0.554469,53.9929
4,100,30.7575,0.400626,61.5821
1,101,17.0613,0.232227,33.5867
2,101,18.4024,0.354433,35.5959
3,101,24.8669,0.479212,34.5967
4,101,20.0904,0.321265,25.0971
1,102,24.5372,0.377806,32.3897
2,102,30.8442,0.455561,30.7914
3,102,23.0628,0.41118,37.0635
4,102,35.0563,0.62305,38.5317
1,103,39.5979,0.298637,28.5429
2,103,41.6931,0.302093,27.572
3,103,37.9666,0.309515,35.1926
4,103,35.3483,0.260594,28.0328
1,104,23.5734,0.471178,45.1115
2,104,23.6752,0.368746,41.3893
3,104,23.5134,0.443181,50.3312
4,104,37.6758,0.672085,42.977
1,105,47.671,0.343842,36.9667
2,105,59.2844,0.502761,24.5908
3,105,54.1603,0.399331,21.84
4,105,47.4252,0.373753,36.1282
1,106,46.7076,0.539191,46.4055
2,106,34.3635,0.405503,40.7787
3,106,39.433,0.425586,38.754
4,106,32.7063,0.420605,37.8931
1,107,49.5837,0.470844,64.6282
2,107,46.3892,0.439816,59.7613
3,107,46.604,0.442501,57.1975
4,107,37.5047,0.326628,58.0562
1,108,19.5346,0.400782,39.6507
2,108,29.4161,0.623971,41.3317
3,108,25.5787,0.515718,34.8625
4,108,28.5487,0.588221,43.2313
1,109,52.8809,0.570809,51.8757
2,109,44.5144,0.496124,60.3263
3,109,28.9805,0.296747,56.3395
4,109,38.2138,0.375117,65.2886
1,110,32.1157,0.418868,30.6207
2,110,34.3767,0.432327,36.5991
3,110,37.2024,0.527048,35.8355
4,110,34.3503,0.449989,36.6216
1,111,25.3412,0.485028,29.8784
2,111,29.3628,0.517656,35.1973
3,111,43.5566,0.607476,19.7287
4,111,22.801,0.387153,40.0438
1,112,39.2903,0.353056,42.6665
2,112,45.5974,0.550571,45.9593
3,112,36.6974,0.397943,52.7571
4,112,45.0568,0.503543,45.8149
1,113,32.6346,0.335696,36.7893
2,113,44.0506,0.557182,44.1966
3,113,33.4548,0.374925,31.1248
4,113,59.0006,0.703735,26.0232
1,114,24.5675,0.618956,56.6576
2,114,21.3577,0.452862,47.3044
3,114,29.3626,0.502567,34.2932
4,114,27.6788,0.458946,43.7663
1,115,25.2971,0.345749,56.5183
2,115,29.6076,0.344193,50.7273
3,115,35.5657,0.433931,53.9254
4,115,37.9419,0.631576,52.3115
1,116,45.1109,0.370533,36.4551
2,116,33.2876,0.274156,51.1017
3,116,35.843,0.339716,31.9948
4,116,42.6545,0.35531,34.4808
1,117,28.527,0.379321,27.937
2,117,37.7295,0.454547,24.047
3,117,27.5665,0.335517,26.8954
4,117,38.2578,0.436638,29.8074
1,118,25.0897,0.452,23.4866
2,118,27.3858,0.472729,17.0992
3,118,23.5032,0.425769,24.6345
4,118,24.4368,0.473888,30.93
1,119,23.8992,0.472137,25.1936
2,119,23,0.381921,20.4676
3,119,18.8471,0.386211,32.4316
4,119,29.9232,0.524851,20.7319
1,120,51.5113,0.507703,14.6276
2,120,58.711,0.378374,15.4689
3,120,45.9856,0.295482,18.3608
4,120,65.3587,0.507263,16.6194
1,121,32.3692,0.559951,52.3547
2,121,37.9092,0.512532,58.1346
