rep,id,eta_g,eta_d,eta_P0
4,147,-0.27652,-0.202348,-0.581643
1,148,0.492815,0.201719,0.0337117
2,148,0.24334,-0.132643,-0.0849393
3,148,0.326524,-0.0706269,0.147134
4,148,0.539293,0.192969,-0.147996
1,149,-0.0347071,-0.0230228,0.305347
2,149,-0.165023,-0.103209,0.233356
3,149,0.130539,0.164166,0.336837
4,149,-0.102139,-0.173684,0.246495
1,150,0.394309,0.128906,0.920348
2,150,0.161874,-0.202392,1.00024
3,150,0.0775564,-0.323852,0.948225
4,150,-0.0465874,-0.449518,0.980101
1,151,-0.397893,0.338213,0.167599
2,151,-0.383479,0.364973,0.0568544
3,151,-0.187257,0.423276,-0.0142732
4,151,-0.386496,-0.0029939,-0.045829
1,152,-0.383598,0.124814,-0.0070428
2,152,-0.589841,-0.147848,-0.295356
3,152,-0.454326,0.000866186,-0.241401
4,152,-0.227993,0.274676,-0.140482
1,153,0.0982082,0.157935,0.717525
2,153,-0.125424,-0.134994,0.579262
3,153,0.100572,-0.0429092,0.493742
4,153,-0.00198959,-0.04723,0.596885
1,154,-0.659653,-0.0731379,-0.0231253
2,154,-0.189905,0.185278,-0.656461
3,154,-0.169419,0.211234,-0.0281743
4,154,-0.533081,0.0930831,-0.0937598
1,155,-0.163703,-0.190996,-0.0312246
2,155,0.142631,0.0650371,-0.425627
3,155,0.204179,0.138389,-0.0967766
4,155,0.279336,0.0982827,-0.285626
1,156,0.233889,-0.0838678,-0.73196
2,156,0.0296142,-0.0688928,-0.311702
3,156,0.117374,-0.147684,-0.63592
4,156,0.0948857,0.0855308,-0.217181
1,157,0.0267043,-0.0125394,0.697631
2,157,0.104784,0.206714,0.817958
3,157,0.090702,0.216145,0.863164
4,157,-0.00717694,-0.0641202,0.818633
1,158,-0.744323,-0.122544,-0.13392
2,158,0.0947702,0.567395,-0.338354
3,158,-0.512246,0.213897,-0.483106
4,158,-0.360785,0.299993,0.138395
1,159,-0.115257,-0.294135,0.321982
2,159,0.12247,0.015727,0.284435
3,159,0.371745,0.188534,0.0883219
4,159,-0.121349,-0.0962904,0.406007
1,160,0.18405,0.370854,-0.0356997
2,160,-0.0206968,-0.217683,-0.261745
3,160,-0.10766,-0.0960013,-0.309117
4,160,0.00495941,0.0424701,-0.367027
1,161,-0.0371932,-0.2026,0.602872
2,161,0.113796,-0.0297768,0.466441
3,161,0.215673,0.158481,0.657078
4,161,0.019689,-0.290064,0.577154
1,162,0.303487,0.175241,0.232788
2,162,0.102094,-0.00123823,0.359904
3,162,0.0446261,-0.32606,0.432229
4,162,0.199757,-0.0153485,0.235705
1,163,0.398506,0.301988,0.0156369
2,163,0.244339,0.10438,-0.139142
3,163,0.0921452,0.0286477,-0.00946505
4,163,-0.0313613,-0.244307,0.0546844
1,164,-0.32041,-0.552671,0.554202
2,164,0.142922,0.0669833,0.573031
3,164,0.0198274,-0.135316,0.457033
4,164,0.096012,-0.0239421,0.483104
1,165,0.138203,-0.0447261,0.66129
