rep,id,V0,delta
4,160,26399.8518047611,0.159454957622009
1,162,33941.4721319265,0.172505834132924
2,162,10081.9191924306,0.14897201044109
3,162,17214.0371499658,0.149365605533327
4,162,6521.89489953695,0.150606695016559
1,163,28044.6380505844,0.136883070399577
2,163,33371.4283089429,0.180913633935816
3,163,152061.081495614,0.173174778065565
4,163,76134.9388593175,0.158428411932874
1,164,44736.8125506816,0.157819003159138
2,164,11022.6510421973,0.1464492479061
3,164,74442.3307419833,0.14203130603712
4,164,41666.9987357958,0.126928171603347
1,165,262847.901296943,0.157607697612849
2,165,1087567.13076334,0.152934113780179
3,165,228257.529283471,0.137264518642534
4,165,229003.423216659,0.148415599130092
1,168,78248.139931162,0.166293918254034
2,168,17023.1984185207,0.15989021967114
3,168,15892.8182882611,0.139871355232351
4,168,14105.2766832145,0.151404078881757
1,169,17931.8147583252,0.143454500261433
2,169,31511.1233980046,0.165153149656042
3,169,34778.3480812403,0.12574092061437
4,169,22357.7137389121,0.194995240995266
1,171,19104.6471174806,0.140481956969969
2,171,8137.36621769019,0.172019746534365
3,171,3660.45238667544,0.151470728113479
4,171,10222.3451648911,0.152808879921278
1,173,1846.15579989689,0.158317837435679
2,173,3197.80895251654,0.147800576402068
3,173,3902.19036067297,0.132418311311968
4,173,6648.17747207483,0.162557822029067
1,174,111319.997459005,0.152697995170137
2,174,39338.9242718426,0.144073478133929
3,174,31389.7178530132,0.151035843345805
4,174,51108.0959347046,0.133030038977432
1,175,1861.45997974596,0.126946793077264
2,175,6382.5276484805,0.158775116407174
3,175,3540.32327446217,0.14959835268968
4,175,5764.14578128897,0.156949657401193
1,177,1171.33260459086,0.156152041472822
2,177,4806.13026020085,0.141985912083994
3,177,2899.12529241523,0.178254051826519
4,177,16850.7508710028,0.145335615561153
1,178,20992.8913631727,0.149911336260076
2,178,6403.43035065534,0.171656104895628
3,178,2620.1245442726,0.151917242075049
4,178,3234.77161264152,0.138601569161528
1,179,9471.30177652381,0.153709514416469
2,179,34391.9246730004,0.153289108202256
3,179,29776.7820957562,0.144300436173796
4,179,32584.8231939219,0.13958189398581
1,180,192906.819560392,0.15436255400428
2,180,307030.293529116,0.138220885327293
3,180,142288.751858651,0.143248444565808
4,180,227675.946417943,0.137773128538364
1,183,51151.9764638668,0.161074543917019
2,183,41015.3363737769,0.147391443793072
3,183,52114.788714584,0.148281687681635
4,183,23913.9211945968,0.146076510728953
1,184,27976.0000740028,0.141027100737897
2,184,22923.8290619691,0.127538649278267
3,184,15275.3284567761,0.157803517955708
4,184,26895.0131658375,0.166521771173192
1,185,4038.82642863204,0.138779829911398
2,185,1217.23832398732,0.14790222163281
3,185,2234.17814488977,0.163155001236571
4,185,9050.7618839793,0.168252493089906
1,186,55399.8496552202,0.142152972997589
2,186,115593.608711872,0.15751948468608
3,186,78895.1931369505,0.170898427959572
4,186,44698.0615064923,0.150987306324893
1,187,39262.1916098241,0.142891517521405
2,187,49115.0914386598,0.138352470682022
3,187,91872.5671281255,0.149446009746578
4,187,32352.0534671345,0.15333405070399
1,188,86014.9408498477,0.129223195544177
2,188,127097.874597137,0.145919002252808
3,188,60818.5650140596,0.163704363216442
4,188,45056.9016050538,0.156312184827849
1,189,33533.0830058873,0.143594297435499
2,189,63405.4410434481,0.142399098706615
3,189,89899.6519144127,0.148160343652555
4,189,62205.3801475749,0.140462005286873
1,191,6417.64701953181,0.144173040680292
2,191,11206.611017234,0.161973604526184
3,191,6206.75787936558,0.146841062890924
4,191,18423.1875761611,0.146641395521965
1,194,171897.612655483,0.145918329143946
2,194,154355.724705803,0.159284318027435
3,194,118608.126763842,0.141905915807824
4,194,74088.1382024908,0.168986597018921
1,195,26242.2494109326,0.138356628458598
2,195,28207.1357882662,0.172033172025215
3,195,27131.4926036127,0.151117309860998
4,195,5765.71829224487,0.158564775685917
1,196,294141.7179877,0.171290580038363
2,196,330814.143443627,0.144979315171117
3,196,104336.602199299,0.153041404866318
4,196,452298.818788441,0.147935023811244
1,197,50836.6176934535,0.161416769737278
2,197,50414.1068447419,0.151146932078935
3,197,15791.3382689455,0.141827059788805
4,197,35313.4213087822,0.166112974603065
1,198,211556.310773935,0.132681365499479
2,198,31672.9448533107,0.147029937162758
3,198,91553.5871657411,0.152362126420998
4,198,314845.851669482,0.152608025408815
1,199,265119.437909318,0.151440360049672
2,199,181076.647346368,0.154572527808606
3,199,130317.224945807,0.132053007097656
4,199,101595.069789704,0.139736032851746
1,200,97134.5136560027,0.133947015650067
2,200,163600.768721082,0.141235861751532
3,200,267993.290993307,0.18006862940908
4,200,275482.253852502,0.131344579693148
1,201,70474.8568351066,0.160154749590646
2,201,18109.6232787986,0.157890550882632
3,201,25578.5518714477,0.150655370893659
4,201,90531.9117155912,0.152728564008216
1,202,24093.3521438237,0.13282350833343
2,202,10384.636463273,0.155940008045877
3,202,30352.3102277721,0.143148299053494
4,202,145378.998953793,0.172467178498312
1,203,6594.27819589138,0.144127989684131
2,203,8542.96604776085,0.135938692685927
3,203,8200.77213816719,0.166517733412836
4,203,4062.31487286383,0.146155970000553
1,204,19992.9954628769,0.157051714119094
2,204,36552.7840853805,0.139091926106759
3,204,65629.6943175256,0.16238434985145
4,204,27047.8165527624,0.141986417658592
1,205,12621.7512136057,0.171290094121516
2,205,23994.3923981225,0.153441268351966
3,205,3169.43875592459,0.144531147452882
4,205,9315.81829385555,0.154282813753462
1,206,41524.5828100494,0.144500829095804
2,206,68766.600387939,0.15696649510002
3,206,80266.8295299234,0.161861927748227
4,206,75039.1268585516,0.145104294431915
1,207,56865.0231737505,0.15422450317246
2,207,172289.852505584,0.158802198374324
3,207,99098.7189608422,0.136598114059595
4,207,59561.3176737702,0.153790221548885
1,208,496351.54894349,0.159978155312619
2,208,666185.352626061,0.147135080190864
3,208,483250.26896363,0.163146997779407
4,208,959872.680284235,0.173415079637573
1,209,12678.8666262361,0.152390830179285
2,209,43610.4361649658,0.154691163995743
3,209,9372.86962411458,0.177719766306741
4,209,15395.184691307,0.161900990247115
1,210,68434.3927645325,0.163572332503649
2,210,42620.6031120186,0.153245449562732
3,210,71637.0539736104,0.171718751074941
4,210,72268.7546339175,0.160040371801317
1,212,157084.997518619,0.135668374683305
2,212,92729.5674436949,0.13188009205949
3,212,62958.9752750979,0.156169414836025
4,212,122321.25827921,0.150008529490614
1,213,36602.3006029281,0.129449797179168
2,213,33926.4630702055,0.152411002584017
3,213,61492.0319753101,0.162226740725939
4,213,37670.9465151676,0.159540935379123
1,214,751957.506728414,0.163842679822416
